,WMO,FAA,Station Name,Continent,ICAO,RAOB STATION NAME,ST,CO,EL,  LAT,N, LONG,E
0,16429,LICT,Trapani/Birgi ,Africa,LICT,TRAPANI/BIRGI (AFB,,IY,7,37.92,N,12.5,E
1,16546,LIED,Decimomannu ,Africa,LIED,DECIMOMANNU,,IY,30,39.35,N,8.97,E
2,16716,LGAT,Athinai (Airport) ,Africa,LGAT,ATHENS/HELLENKION,,GR,15,37.9,N,23.73,E
3,17196,LTAU,Kayseri ,Africa,LTAM,KAISERI CITY,,TU,1043,38.72,N,35.5,E
4,17220,,Izmir/Guzelyali,Africa,,IZMIR,,TU,29,38.43,N,27.17,E
5,17240,LTBM,Isparta ,Africa,LTBM,ISPARTA,,TU,997,37.75,N,30.55,E
6,17351,,Adana/Bolge,Africa,,ADANA/BOLGE,,TU,28,36.98,N,35.35,E
7,40179,,Bet Dagan,Africa,,BET DAGAN,,IS,30,32.0,N,34.82,E
8,40373,OEPA,Al-Qaisumah ,Africa,OEPA,HAFR AL-BATIN ARPT,,SD,355,28.33,N,46.12,E
9,40394,OEHL,Hail ,Africa,OEHL,HAIL,,SD,1013,27.52,N,41.73,E
10,40417,OEDF,K.F.I.A.-Dammam ,Africa,OEDF,KING FAHAD INTERNA,,SD,12,26.45,N,49.82,E
11,40430,OEMA,Al-Madinah ,Africa,OEMA,MADINAH INTL ARPT,,SD,631,24.55,N,39.72,E
12,40437,OERK,King Khaled Intl Arpt ,Africa,OERK,RIYADH/KING KHALID,,SD,612,24.93,N,46.72,E
13,40706,OITT,Tabriz ,Africa,OITT,TABRIZ(IRAN-AB/CIV,,IR,1361,38.08,N,46.28,E
14,40754,OIII,Tehran-Mehrabad ,Africa,OIII,TEHRAN/MEHRABAD AF,,IR,1191,35.68,N,51.35,E
15,40809,OIMB,Birjand ,Africa,OIMB,BIRJAND,,IR,1491,32.87,N,59.2,E
16,40841,OIKK,Kerman ,Africa,OIKK,KERMAN,,IR,1754,30.25,N,56.97,E
17,41024,OEJN,Jeddah (King Abdul Aziz) ,Africa,OEJN,JEDDAH/ABDUL AZIZ,,SD,12,21.67,N,39.15,E
18,41112,OEAB,Abha ,Africa,OEAB,ABHA,,SD,2084,18.23,N,42.65,E
19,41217,OMAA,Abu Dhabi Inter Arpt ,Africa,OMAA,ABU DHABI INTL,,ER,27,24.43,N,54.65,E
20,60018,,Guimar-Tenerife,Africa,,TENERIFE-GUIMAR,,CR,111,28.32,N,16.38,W
21,61901,,St. Helena Is.,Africa,,ST. HELENA ISLAND,,HE,436,15.93,S,5.67,W
22,63985,FSSS,Seychelles(Rawinsonde) ,Africa,FSSS,SEYCHELLES INTL,,SC,4,4.68,S,55.53,E
23,65548,DIMN,Man ,Africa,DIMN,MAN,,IV,340,7.38,N,7.52,W
24,65578,DIAP,Abidjan ,Africa,DIAP,ABIDJAN/PORT BOUET,,IV,8,5.25,N,3.93,W
25,68263,FAIR,Pretoria (Irene) ,Africa,FAIR,PRETORIA/IRENE,,ZA,1500,25.92,S,28.22,E
26,68442,FABL,Bloemfontein Airport ,Africa,FABL,BLOEMFONTEIN/HERTZ,,ZA,1348,29.1,S,26.3,E
27,68512,FASB,Springbok ,Africa,FASB,SPRINGBOK,,ZA,990,29.67,S,17.87,E
28,68816,,Cape Town Intnl. Arport,Africa,FACT,CAPETOWN/DF MALAN,,ZA,42,33.98,S,18.6,E
29,68842,FAPE,Port Elizabeth ,Africa,FAPE,PORT ELIZABETH,,ZA,60,33.98,S,23.6,E
